"description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"Stories, video, and multimedia for Filipinos worldwide, from ABS-CBN News and Current Affairs, the Philippines' most trusted news organization.",490812,5311498,830,1298,"https://t.co/e2NDE5Oyaa","ABS-CBN News",2008-08-16 10:09:33,FALSE,TRUE,"ABSCBNNews","Manila, Philippines","en","15872418",7137,FALSE,"http://pbs.twimg.com/profile_images/595786514883284994/imtdEbVC_normal.jpg"
"Welcome to the official Twitter account of GMA News in the Philippines.",492312,5114946,16039,831,"http://t.co/ml34b0gh6B","GMA News",2009-05-12 07:14:09,FALSE,TRUE,"gmanews","Philippines","en","39453212",8538,FALSE,"http://pbs.twimg.com/profile_images/862635632031444993/ZygYyZRJ_normal.jpg"
"We tell the story of the Filipino.",178193,251883,60,322,"http://t.co/mNT2ehDCaF","CNN Philippines",2014-09-15 16:27:24,FALSE,TRUE,"cnnphilippines","","en","2811559122",1111,FALSE,"http://pbs.twimg.com/profile_images/562452766400868352/0p_wOTlz_normal.png"
"Balanced News, Fearless Views. Updates on and from the Philippines. Smartphone https://t.co/ieH6fpzwvJ Tablet https://t.co/hmKh0Rr0QZ Chat https://t.co/Cvl0FeXobL",555591,2521360,32252,1821,"https://t.co/RlrYWVwrXG","Inquirer",2008-07-16 00:36:41,FALSE,TRUE,"inquirerdotnet","Makati City","en","15448383",5518,FALSE,"http://pbs.twimg.com/profile_images/783698839546961920/POMZKG5W_normal.jpg"
"Official account of the People’s Television - Ang Telebisyon ng Bayan. Like us on Facebook at https://t.co/BGgUTOc3eZ",162309,112178,1160,1132,"https://t.co/5xEVS7st70","People's Television",2008-09-20 04:52:33,FALSE,TRUE,"PTVph","Philippines","en","16374906",674,FALSE,"http://pbs.twimg.com/profile_images/849195324933496832/BXY9TiAO_normal.jpg"
"News updates & breaking news from the Philippines. Like our Facebook page:  http://t.co/xr1ETuyubS.",431526,4171993,5746,775,"http://t.co/A0nEVmvNKm","ABS-CBN News Channel",2009-06-04 21:26:24,FALSE,TRUE,"ANCALERTS","Philippines","en","44728980",7441,FALSE,"http://pbs.twimg.com/profile_images/658664801204224000/c8YAaKM2_normal.jpg"
"The official Twitter account of The Philippine STAR, flagship title of the country's most successful print media enterprise.",316464,387082,2703,1531,"https://t.co/lhTbIQcvxQ","The Philippine Star",2012-01-23 16:37:30,FALSE,TRUE,"PhilippineStar","Philippines","en","472122299",1255,FALSE,"http://pbs.twimg.com/profile_images/607869519197962240/-e1Y78yD_normal.jpg"
"Human Rights Lawyer. Mother of Aika, Tricia and Jillian. Jesse's Wife. Public Servant. 14th Vice President of the Philippines.",4254,108757,2526,255,NA,"Leni Robredo",2009-06-15 00:15:36,FALSE,TRUE,"lenirobredo","Philippines","en","47211842",170,FALSE,"http://pbs.twimg.com/profile_images/2567464101/IMG_1030_normal.jpg"
"The Social News Network. Uncompromised journalism that inspires smart conversation and a thirst for change. We have an app for iOS, Android & Windows8!",412993,2619309,7057,396,"https://t.co/tz2uMgi2kb","Rappler",2011-07-07 06:34:10,FALSE,TRUE,"rapplerdotcom","Philippines","en","330826792",3407,FALSE,"http://pbs.twimg.com/profile_images/730054174688215040/LatpUh8T_normal.jpg"
"Breaking news and stories from different sides. RTs from our journalists. Unparalleled journalism in the Philippines since 1900. #BeFullyInformed",426318,516515,1720,240,"https://t.co/DJrHgc3ua0","Manila Bulletin News",2008-07-10 07:55:26,FALSE,TRUE,"manila_bulletin","Manila, Philippines","en","15375209",2532,FALSE,"http://pbs.twimg.com/profile_images/561337231223189504/WqlY5v-s_normal.jpeg"
"Official online arm of the STAR group of publications. Breaking news, features, special reports and multimedia.",173718,341516,1414,166,"https://t.co/dvIgySAUNd","Philstar.com",2009-07-09 02:48:17,FALSE,TRUE,"PhilstarNews","Manila, Philippines","en","55118669",1647,FALSE,"http://pbs.twimg.com/profile_images/671525938295799808/_kjNJtS5_normal.png"
"The official Twitter account of Super Radyo DZBB 594 kHz, the flagship AM radio station of GMA Network, Inc.",281727,113880,1178,716,"http://t.co/yoH6jyXYaU","DZBB Super Radyo",2012-01-12 08:18:11,FALSE,TRUE,"dzbb","Republic of the Philippines","en","461853598",418,FALSE,"http://pbs.twimg.com/profile_images/598717471147732992/qnU5fXbu_normal.jpg"
"The official Twitter account of the Office of The Vice President of the Philippines",1357,11402,22,104,"https://t.co/LB9J3UoaWm","Vice President Leni",2016-07-21 06:28:13,FALSE,TRUE,"VPPilipinas","National Capital Region","en","756012889417224193",59,FALSE,"http://pbs.twimg.com/profile_images/770957796124741633/OocEthrj_normal.jpg"
"AJ+ is news for the connected generation, sharing human struggles, and challenging the status quo. Download the app to be a part of a global community.",43191,563791,2051,331,"http://t.co/ajmT5k7yEI","AJ+",2010-02-01 11:53:42,FALSE,TRUE,"ajplus","","en","110396781",6057,FALSE,"http://pbs.twimg.com/profile_images/510269137071783936/AOB0NWwG_normal.png"
"Volunteer, Activist, Endorser, Film & Television Actress. Follow me on Instagram at @therealangellocsin",9472,8826002,281,511,"https://t.co/p5qScOfi8Q","Angel Locsin",2009-07-30 14:54:09,FALSE,TRUE,"143redangel","Republic of the Philippines :)","en","61507091",8643,FALSE,"http://pbs.twimg.com/profile_images/685005352908161025/UnOLwan9_normal.jpg"
"Honor God. Make disciples.",15876,52404,1619,118,"https://t.co/Pet9SLR5LL","Victory",2009-05-16 01:15:28,FALSE,TRUE,"victoryph","Republic of the Philippines","en","40378655",274,FALSE,"http://pbs.twimg.com/profile_images/464213032982179841/UimCimwM_normal.jpeg"
"RT, the global news network, broadcasts from Moscow, London and Washington studios to over 100 countries.",213292,2603513,829,604,"http://t.co/bDDyvy9DmR","RT",2009-08-11 06:12:45,FALSE,TRUE,"RT_com","","en","64643056",20612,FALSE,"http://pbs.twimg.com/profile_images/819870660507955202/aIKukPJE_normal.jpg"
"Top news and features from AFP's reporters around the world. Elsewhere on Twitter: https://t.co/4pIm8k2HLC",125114,1113341,113,548,"https://t.co/kqhCI1T6KT","AFP news agency",2011-09-27 00:35:10,FALSE,TRUE,"AFP","France","en","380648579",16741,FALSE,"http://pbs.twimg.com/profile_images/697343883630481408/c08JBfBB_normal.jpg"
"Potent",54429,54730,18615,487,"https://t.co/DgcRumVHgg","Irish Christianne",2011-07-11 14:58:54,FALSE,TRUE,"IrishDDizon","","en","333439624",80,FALSE,"http://pbs.twimg.com/profile_images/866308984319299584/sevbnb4F_normal.jpg"
"See the whole picture with @ABC News. Join us on Facebook: https://t.co/ewMNZ54axm",169713,10534941,458,745,"https://t.co/v7GWW7ho1l","ABC News",2009-04-04 12:40:32,FALSE,TRUE,"ABC","New York City / Worldwide","en","28785486",48543,FALSE,"http://pbs.twimg.com/profile_images/658688193651277824/Kv_cNNub_normal.png"
"Researcher at Human Rights Watch covering the Philippines. Ex-journo (NYT, IHT, among others.) Views are mine.",3246,1925,347,704,"https://t.co/rMe2Ns2lui","Carlos H. Conde",2009-11-24 02:38:27,FALSE,TRUE,"condeHRW","Manila, Philippines","en","92181348",82,FALSE,"http://pbs.twimg.com/profile_images/823688638340861953/d2MpJuhb_normal.jpg"
"Author, filmmaker, and recovering political operative. Veteran. SciFi aesthete. Philly kid.",88555,126468,38673,436,NA,"Jack Posobiec <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>",2012-05-28 13:31:22,FALSE,TRUE,"JackPosobiec","Washington, DC","en","592730371",1445,FALSE,"http://pbs.twimg.com/profile_images/862419980855410689/UbZloRYx_normal.jpg"
"Prime Minister of Malaysia, working towards a #BetterNation",11263,3503655,94,156,"http://t.co/KHodQw77Ho","Mohd Najib Tun Razak",2008-09-21 09:43:59,FALSE,TRUE,"NajibRazak","Malaysia","en","16389180",4688,FALSE,"http://pbs.twimg.com/profile_images/526212687101820929/wmAKmxjb_normal.jpeg"
"Your source for original reporting and trusted news.",128196,5830677,263,431,"https://t.co/VGut7r2Vg5","CBS News",2008-06-05 00:54:31,FALSE,TRUE,"CBSNews","New York, NY","en","15012486",45347,FALSE,"http://pbs.twimg.com/profile_images/645966750941626368/d0Q4voGK_normal.jpg"
"The official Twitter account of the 89-year-old official student publication of the University of Santo Tomas",18508,49269,355,51,"https://t.co/9fQ4ZnMsR7","The Varsitarian",2010-07-16 15:48:55,FALSE,TRUE,"varsitarianust","Manila","en","167435064",148,FALSE,"http://pbs.twimg.com/profile_images/772398910987829248/oOU_-3E0_normal.jpg"
"Deputy Director, digital team at Human Rights Watch. Social media. Fan of SF Giants. Run @hrw.",13128,13115,295,2450,"https://t.co/s1MbKCnCHN","Jim Murphy",2009-03-03 02:48:38,FALSE,TRUE,"jimmurphySF","San Francisco, CA","en","22574178",547,FALSE,"http://pbs.twimg.com/profile_images/759069826673283072/cbx01VSY_normal.jpg"
"Breaking news and current events from around the globe. Hosted by TIME staff. Tweet questions to our customer service team @TIMEmag_Service.",231815,14044365,611,848,"http://t.co/4aYbUuAeSh","TIME",2008-04-03 13:54:30,FALSE,TRUE,"TIME","","en","14293310",99277,FALSE,"http://pbs.twimg.com/profile_images/1700796190/Picture_24_normal.png"
"Editor Inquirer Briefing (Phil Sun. Inquirer).#TheExplainer Monday on ANC, Tues. ABSCBN online. Columnist .@inquirerdotnet Editor at large Spot.ph. Views mine.",72046,192956,10840,1856,"https://t.co/Z2BDTFtI3F","Manuel L. Quezon III",2007-04-11 16:12:12,FALSE,TRUE,"mlq3","Quezon City","en","4202781",1305,FALSE,"http://pbs.twimg.com/profile_images/728992202366410752/iG77O0VD_normal.jpg"
"**Get MY BOOK Enemy of the State here: https://t.co/hf5UDkcG7i ** DONATE by clicking here: https://t.co/zK92yNjBsS Contributor @therebelTV",89886,261712,53657,11488,"https://t.co/VdOM35LuQ4","Tommy Robinson <ed><U+00A0><U+00BC><ed><U+00B7><U+00AC><ed><U+00A0><U+00BC><ed><U+00B7><U+00A7>",2011-09-16 20:07:22,FALSE,TRUE,"TRobinsonNewEra","Luton England ","en-gb","374712154",1496,FALSE,"http://pbs.twimg.com/profile_images/851387020362604544/PAA_tgUJ_normal.jpg"
"Where the conversation begins. Follow for breaking news, special reports, RTs of our journalists and more from https://t.co/YapuoqX0HS.",279007,37432870,14892,894,"http://t.co/ahvuWqicF9","The New York Times",2007-03-02 20:41:42,FALSE,TRUE,"nytimes","New York City","en","807095",189222,FALSE,"http://pbs.twimg.com/profile_images/856562742563663872/cl1sRx2G_normal.jpg"
"The need for independent journalism has never been greater. Become a Guardian supporter: https://t.co/EWg9aqA7PQ",346364,6514803,153,1113,"https://t.co/c53pnmnuIT","The Guardian",2009-11-05 23:49:19,FALSE,TRUE,"guardian","London","en","87818409",53294,FALSE,"http://pbs.twimg.com/profile_images/822336375341125632/-PWnVYAF_normal.jpg"
"News, features and analysis from the World's newsroom. Breaking news, follow @BBCBreaking. UK news, @BBCNews. Latest sports news @BBCSport",256536,19826064,7,83,"https://t.co/7NEgoMwJy3","BBC News (World)",2007-02-01 07:44:29,FALSE,TRUE,"BBCWorld","London, UK","en","742143",104104,FALSE,"http://pbs.twimg.com/profile_images/694449140269518848/57ZmXva0_normal.jpg"
"Defense and Security Analyst",20974,145829,0,0,"https://t.co/0lCH78Pk05","Zaid Hamid",2010-03-27 15:49:30,FALSE,TRUE,"ZaidZamanHamid","Rawalpindi, Pakistan.","en","126966274",662,FALSE,"http://pbs.twimg.com/profile_images/804018836399865856/TkcjjQdd_normal.jpg"
"World news from The New York Times. Follow our editors and correspondents here: http://t.co/dZjTQkxoyM",177512,1742228,3642,551,"http://t.co/MomnOXloav","New York Times World",2007-03-22 13:59:49,FALSE,TRUE,"nytimesworld","New York, NY","en","1877831",18434,FALSE,"http://pbs.twimg.com/profile_images/2045337639/NYT_Twitter_world_normal.png"
"Follow Al Jazeera for the latest news, ongoing coverage and unique perspectives from around the world. For more: @AJEnglish",93655,1271172,121,376,"https://t.co/D38RZjLnhI","Al Jazeera News",2008-12-28 08:02:32,FALSE,TRUE,"AJENews","Doha, Qatar","en","18424289",17841,FALSE,"http://pbs.twimg.com/profile_images/448478250503647233/xZOjTaoA_normal.jpeg"
